,age,gender,race,date,city,state,cause,body_camera
1283,23,Male,Black,17/07/2019,Metairie,LA,Gunshot,False
1285,35,Male,White,17/07/2019,McAlester,OK,Gunshot,False
1286,35,Male,Black,17/07/2019,Birmingham,AL,Gunshot,False
1288,52,Male,Black,17/07/2019,Modesto,CA,Gunshot,True
1291,52,Male,Hispanic,16/07/2019,Chino Hills,CA,Gunshot,False
1292,62,Male,Unknown race,16/07/2019,Memphis,IN,Gunshot,False
1293,49,Male,Black,15/07/2019,Baltimore,MD,Gunshot,True
1295,43,Male,White,15/07/2019,Salt Lake City,UT,Gunshot,True
1298,20,Male,Black,14/07/2019,Penn Hills,PA,Gunshot,False
1299,22,Male,Black,14/07/2019,Hollywood,FL,Gunshot,False
1302,46,Male,White,13/07/2019,Wildwood,FL,Gunshot,False
1304,69,Male,White,13/07/2019,Tacoma,WA,Gunshot,False
1305,35,Male,Hispanic,13/07/2019,Kirkland,WA,Gunshot,False
1306,32,Male,Black,10/07/2019,Adelanto,CA,Gunshot,False
1307,33,Male,White,10/07/2019,Jacksonville,FL,Gunshot,False
1309,Unknown,,White,10/07/2019,Kansas City,KS,Gunshot,False
1310,23,Male,Black,09/07/2019,Greenville,NC,Gunshot,False
1311,23,Male,White,09/07/2019,Cleveland,OH,Gunshot,False
1312,26,Male,White,09/07/2019,Citrus Heights,CA,Gunshot,False
1313,36,Male,Unknown race,09/07/2019,Rancho Mirage,CA,Gunshot,True
1315,36,Male,Hispanic,09/07/2019,Bakersfield,CA,Gunshot,False
1319,61,Male,White,07/07/2019,Jacksonville,AR,Gunshot,False
1320,41,Male,White,07/07/2019,Timberville,VA,Gunshot,False
1321,43,Male,Black,06/07/2019,Rosedale,MD,Gunshot,False
1323,28,Male,Black,05/07/2019,Pensacola,FL,Gunshot,False
1324,37,Male,Hispanic,05/07/2019,Ruskin,FL,Gunshot,False
1325,58,Male,White,05/07/2019,Mountain Grove,MO,Gunshot,False
1326,17,Female,White,05/07/2019,Anaheim,CA,Gunshot,True
1327,21,Male,White,05/07/2019,Oak View,CA,Gunshot,False
1328,34,Male,Hispanic,05/07/2019,West Jordan,UT,Gunshot,False
1329,34,Male,Hispanic,04/07/2019,Lakewood,CO,Gunshot,False
1330,47,Male,Hispanic,04/07/2019,Roswell,GA,Gunshot,False
1331,26,Male,White,03/07/2019,West Des Moines,IA,Gunshot,False
1332,39,Male,Native American,03/07/2019,Poulsbo,WA,Gunshot,False
1333,38,Female,Hispanic,03/07/2019,El Paso,TX,Gunshot,False
1334,49,Male,Asian,03/07/2019,Chino,CA,Gunshot,True
1335,53,Male,White,03/07/2019,Salem,IN,Gunshot,False
1336,21,Male,Hispanic,02/07/2019,Albuquerque,NM,Gunshot,False
1337,23,Male,Black,02/07/2019,Eagan,MN,Gunshot,True
1338,39,Male,Black,02/07/2019,Elyria,OH,Gunshot,False
1339,44,Male,White,02/07/2019,Gaylord,MI,Gunshot,False
1340,22,Male,Hispanic,01/07/2019,Denver,CO,Gunshot,False
1341,23,Male,Asian,01/07/2019,Athens,GA,Gunshot,True
1343,52,Male,White,01/07/2019,Pontotoc,MS,Gunshot,False
1344,67,Male,Black,01/07/2019,Port St. Lucie,FL,Gunshot,False
1346,61,Male,White,29/06/2019,Lantana,TX,Gunshot,False
1347,19,Male,White,28/06/2019,Pearl,MS,Gunshot,False
1348,24,Male,White,28/06/2019,Houston,TX,Gunshot,False
1349,37,Male,Black,28/06/2019,Pueblo,CO,Gunshot,False
1351,69,Male,Unknown race,28/06/2019,Stroudsburg,PA,Gunshot,False
1352,76,Male,White,28/06/2019,Smyrna,TN,Gunshot,False
1354,33,Male,White,27/06/2019,Bellevue,NE,Gunshot,False
1355,35,Male,White,27/06/2019,Hazel Green,KY,Gunshot,False
1356,41,Male,Hispanic,27/06/2019,Yucca Valley,CA,Gunshot,False
1357,50,Male,Black,27/06/2019,Springfield,FL,Gunshot,False
1358,18,Male,Hispanic,27/06/2019,East Los Angeles,CA,Gunshot,False
1359,54,Male,White,27/06/2019,Elloree,SC,Gunshot,False
1360,50,Male,White,27/06/2019,Tulsa,OK,Gunshot,False
1361,32,Male,Black,26/06/2019,Sugarcreek,OH,Gunshot,True
1362,50,Male,White,26/06/2019,Timberville,VA,Gunshot,False
1363,35,Male,Hispanic,25/06/2019,San Antonio,TX,Gunshot,False
1364,43,Male,White,25/06/2019,Menasha,WI,Gunshot,False
1365,Unknown,Male,Unknown race,25/06/2019,Miami,FL,Gunshot,False
1366,19,Male,Black,24/06/2019,Boston,MA,Gunshot,True
1368,61,Male,White,24/06/2019,Englewood,FL,Gunshot,False
1369,29,Male,White,23/06/2019,Springfield,OH,Gunshot,False
1370,26,Male,Hispanic,22/06/2019,Big Sur,CA,Gunshot,False
1371,41,Male,White,22/06/2019,Phoenix,MD,Gunshot,True
1372,33,Male,Hispanic,20/06/2019,Mission,TX,Gunshot,False
1374,18,Male,Hispanic,18/06/2019,Centralia,WA,Gunshot,False
1375,34,Male,Unknown race,18/06/2019,Friendly Hills,CO,Gunshot,False
1376,74,Male,Black,18/06/2019,Syracuse,NY,Gunshot,False
1377,22,Male,White,17/06/2019,Dallas,TX,Gunshot,False
1378,35,Male,Hispanic,17/06/2019,Las Cruces,NM,Gunshot,False
1379,20,Male,Hispanic,17/06/2019,Brownsville,TX,Gunshot,False
1380,31,Male,Hispanic,16/06/2019,Tucson,AZ,Gunshot,False
1381,53,Male,Black,16/06/2019,South Bend,IN,Gunshot,False
1383,18,Male,Black,15/06/2019,Mt. Pleasant,WI,Gunshot,False
1384,20,Male,Black,15/06/2019,Renton,WA,Gunshot,False
1385,28,Male,Black,15/06/2019,Hueytown,AL,Gunshot,False
1386,37,Male,Hispanic,15/06/2019,Tulsa,OK,Gunshot,True
1387,38,Male,Hispanic,15/06/2019,Toppenish,WA,Gunshot,False
1388,48,Male,White,15/06/2019,Fairbanks,AK,Gunshot,False
1389,45,Male,White,15/06/2019,Belmont,NH,Gunshot,False
1392,Unknown,Male,Unknown race,14/06/2019,Delano,CA,Gunshot,False
1393,17,Male,Black,13/06/2019,Rockville,MD,Gunshot,False
1394,22,Male,Black,13/06/2019,Jacksonville,AR,Gunshot,False
1396,20,Male,Black,12/06/2019,Memphis,TN,Gunshot,False
1397,27,Male,Black,11/06/2019,Poteau,OK,Gunshot,False
1398,32,Male,White,11/06/2019,Arpin,WI,Gunshot,False
1402,40,Male,Hispanic,11/06/2019,Orlando,FL,Gunshot,False
1403,61,Male,White,11/06/2019,Como,TX,Gunshot,False
1404,19,Male,Black,10/06/2019,Lawton,OK,Gunshot,False
1405,24,Male,Black,10/06/2019,Oklahoma City,OK,Gunshot,True
1407,32,Male,White,10/06/2019,Kingsport,TN,Gunshot,False
1408,20,Male,Black,09/06/2019,Fort Worth,TX,Gunshot,False
1410,32,Male,Hispanic,09/06/2019,Menifee,CA,Gunshot,False
1411,38,Male,White,09/06/2019,Portland,OR,Gunshot,False
1412,41,Male,White,09/06/2019,Shirley,AR,Gunshot,False
1413,33,Female,Hispanic,08/06/2019,Fresno,CA,Gunshot,True
1414,40,Male,Black,08/06/2019,Clearwater,FL,Gunshot,False
1416,46,Male,White,07/06/2019,Bristol,TN,Gunshot,False
1417,26,Male,Black,06/06/2019,St. Louis,MO,Gunshot,False
1418,27,Male,Black,06/06/2019,Hawthorne,CA,Gunshot,False
1419,35,Male,Hispanic,06/06/2019,San Gabriel,CA,Gunshot,False
1420,37,Male,Hispanic,06/06/2019,Modesto,CA,Gunshot,False
1421,59,Male,Hispanic,06/06/2019,Los Angeles,CA,Gunshot,True
1422,70,Male,White,06/06/2019,Braxton,MS,Gunshot,False
1423,24,Male,Black,06/06/2019,Willowbrook,CA,Gunshot,False
1424,28,Male,Hispanic,05/06/2019,Bernalillo,NM,Gunshot,False
1425,37,Male,White,05/06/2019,Jonesboro,AR,Gunshot,False
1426,39,Male,White,05/06/2019,Escalon,CA,Gunshot,False
1427,54,Male,White,05/06/2019,Trinity,NC,Gunshot,False
1429,45,Male,White,04/06/2019,Indialantic,FL,Gunshot,False
1430,23,Male,White,03/06/2019,San Diego,CA,Gunshot,False
1431,41,Male,Black,03/06/2019,Detroit,MI,Gunshot,False
1432,43,Male,Black,03/06/2019,Ardsley,NY,Gunshot,False
1433,59,Male,White,03/06/2019,Collierville,TN,Gunshot,False
1434,23,Male,Black,02/06/2019,Walnut Creek,CA,Gunshot,True
1435,27,Male,White,01/06/2019,Anderson,CA,Gunshot,False
1436,35,Male,Black,01/06/2019,Shreveport,LA,Gunshot,False
1438,35,Male,White,01/06/2019,Bartlesville,OK,Gunshot,False
1441,56,Male,White,31/05/2019,Davidsonville,MD,Gunshot,False
1442,26,Male,Asian,31/05/2019,Auburn,WA,Gunshot,False
1443,32,Male,White,31/05/2019,Gorham,ME,Gunshot,False
1444,32,Female,Black,30/05/2019,Huntsville,AL,Gunshot,False
1445,58,Male,White,30/05/2019,Havre De Grace,MD,Gunshot,False
1446,Unknown,Female,Unknown race,30/05/2019,Ontario,CA,Gunshot,False
1447,22,Male,Hispanic,29/05/2019,Amarillo,TX,Gunshot,False
1448,62,Male,White,29/05/2019,Wilmington,NC,Gunshot,False
1449,21,Male,Black,28/05/2019,Chicago,IL,Gunshot,False
1450,44,Male,Black,27/05/2019,Joliet,IL,Gunshot,False
1451,49,Male,White,27/05/2019,Wichita,KS,Gunshot,False
1452,30,Male,Black,26/05/2019,Kansas City,MO,Gunshot,False
1453,48,Male,Unknown race,26/05/2019,Odessa,TX,Gunshot,False
1454,35,Male,Hispanic,24/05/2019,Houston,TX,Gunshot,False
1455,41,Male,White,24/05/2019,Vero Beach,FL,Gunshot,False
1457,28,Male,White,23/05/2019,Carriere,MS,Gunshot,False
1459,41,Male,White,23/05/2019,Montgomery,NY,Gunshot,False
1462,33,Male,White,22/05/2019,Ashland,WI,Gunshot,False
1467,21,Male,Hispanic,21/05/2019,Golden Hills,CA,Gunshot,False
1469,26,Male,Black,20/05/2019,Auburn,WA,Gunshot,False
1470,34,Female,White,20/05/2019,Blackwell,OK,Gunshot,False
1471,45,Male,Black,20/05/2019,Miami Gardens,FL,Gunshot,False
1472,46,Male,Hispanic,20/05/2019,Archdale,NC,Gunshot,False
1473,47,Female,White,20/05/2019,Carlsbad,NM,Gunshot,False
1474,17,Male,Hispanic,19/05/2019,Phoenix,AZ,Gunshot,False
1477,59,Male,Hispanic,19/05/2019,Huron,CA,Gunshot,False
1478,20,Male,Hispanic,18/05/2019,Garden Grove,CA,Gunshot,False
1480,26,Male,Native American,18/05/2019,Tonalea,AZ,Gunshot,False
1481,36,Male,Black,17/05/2019,Pasadena,CA,Gunshot,True
1482,39,Male,Hispanic,17/05/2019,Davie,FL,Gunshot,False
1483,40,Male,Black,17/05/2019,New Orleans,LA,Gunshot,True
1484,58,Female,White,17/05/2019,New Boston,TX,Gunshot,False
1485,32,Male,Hispanic,16/05/2019,Palm Beach Gardens,FL,Gunshot,False
1486,43,Male,Hispanic,15/05/2019,Tamarac,FL,Gunshot,False
1487,47,Male,Black,15/05/2019,Appleton,WI,Gunshot,True
1489,54,Male,White,14/05/2019,Las Vegas,NV,Gunshot,False
1490,36,Male,Black,13/05/2019,Gardena,CA,Gunshot,True
1491,44,Female,Black,13/05/2019,Baytown,TX,Gunshot,False
1492,45,Male,White,13/05/2019,Rising Sun,MD,Gunshot,False
1493,25,Male,Hispanic,11/05/2019,South Sioux City,NE,Gunshot,False
1494,30,Male,Black,11/05/2019,Chicago,IL,Gunshot,False
1495,39,Male,White,11/05/2019,Tunbridge,VT,Gunshot,False
1496,49,Male,Black,11/05/2019,Savannah,GA,Gunshot,False
1497,76,Male,Unknown race,11/05/2019,Parks,AZ,Gunshot,False
1499,25,Male,Black,10/05/2019,Tulsa,OK,Gunshot,True
1500,29,Male,Hispanic,09/05/2019,Phoenix,AZ,Gunshot,False
1501,49,Male,Hispanic,09/05/2019,Montebello,CA,Gunshot,False
1502,31,Male,Unknown race,09/05/2019,Wytheville,VA,Gunshot,False
1503,31,Male,White,08/05/2019,Seattle,WA,Gunshot,True
1504,32,Male,Hispanic,07/05/2019,Santa Barbara,CA,Gunshot,False
1505,34,Male,Hispanic,07/05/2019,Milwaukee,WI,Gunshot,False
1506,59,Male,White,07/05/2019,Lumberton,MS,Gunshot,False
1507,33,Male,Hispanic,06/05/2019,Mesa,AZ,Gunshot,False
1509,61,Male,Hispanic,05/05/2019,Angel Fire,NM,Gunshot,False
1511,37,Male,White,04/05/2019,Hermantown,MN,Gunshot,False
1513,25,Male,White,04/05/2019,Spokane Valley,WA,Gunshot,False
1514,24,Male,White,04/05/2019,San Jose,CA,Gunshot,True
1515,37,Male,Hispanic,02/05/2019,Cedar Hill,TX,Gunshot,False
1516,76,Male,Unknown race,02/05/2019,Parkville,MD,Gunshot,True
1517,52,Male,White,02/05/2019,Glenwood,GA,Gunshot,False
1518,28,Male,White,01/05/2019,Hiltons,VA,Gunshot,False
1519,37,Male,Hispanic,01/05/2019,Los Lunas,NM,Gunshot,False
1520,51,Male,Hispanic,01/05/2019,Miami,FL,Gunshot,False
1521,Unknown,Male,Unknown race,01/05/2019,Freeport,FL,Gunshot,False
1522,45,Female,White,30/04/2019,Welcome,NC,Gunshot,False
1523,47,Male,Hispanic,30/04/2019,Los Angeles,CA,Gunshot,False
1524,Unknown,Male,Unknown race,30/04/2019,Perris,CA,Gunshot,False
1525,29,Male,White,29/04/2019,Bay St. Louis,MS,Gunshot,False
1526,42,Male,White,29/04/2019,Portland,OR,Gunshot,False
1527,17,Male,Black,29/04/2019,Edmond,OK,Gunshot,False
1528,26,Male,Hispanic,29/04/2019,Phoenix,AZ,Gunshot,False
1529,49,Female,Asian,29/04/2019,Hemphill,WV,Gunshot,False
1530,45,Male,Hispanic,28/04/2019,Austin,TX,Gunshot,True
1531,47,Male,Hispanic,28/04/2019,Sparks,NV,Gunshot,False
1534,43,Male,Unknown race,26/04/2019,Clarksville,IN,Gunshot,True
1538,51,Male,White,25/04/2019,Apex,NC,Gunshot,False
1539,29,Male,White,24/04/2019,Colorado Springs,CO,Gunshot,False
1541,29,Male,White,24/04/2019,Owingsville,KY,Gunshot,False
1542,32,Male,Hispanic,22/04/2019,Los Angeles,CA,Gunshot,True
1543,46,Male,Hispanic,22/04/2019,Watauga,TX,Gunshot,False
1545,29,Male,Hispanic,20/04/2019,Colorado Springs,CO,Gunshot,True
1546,30,Male,Hispanic,20/04/2019,Raleigh,NC,Gunshot,False
1547,42,Male,White,20/04/2019,Little Rock,AR,Gunshot,False
1548,63,Male,White,20/04/2019,Athens,GA,Gunshot,True
1549,18,Male,Hispanic,20/04/2019,Wethersfield,CT,Gunshot,False
1550,30,Male,White,18/04/2019,Fremont,CA,Gunshot,True
1551,40,Male,Native American,18/04/2019,Coon Rapids,MN,Gunshot,True
1552,42,Male,Hispanic,18/04/2019,New York,NY,Gunshot,False
1554,36,Male,White,17/04/2019,Morgantown,WV,Gunshot,True
1556,Unknown,,Black,17/04/2019,Flint,MI,Gunshot,False
1557,24,Male,White,16/04/2019,Rome,NY,Gunshot,False
1558,24,Male,White,16/04/2019,Fountain Inn,SC,Gunshot,False
1559,42,Male,White,15/04/2019,Pigeon Forge,TN,Gunshot,False
1560,27,Male,White,14/04/2019,Dalhart,TX,Gunshot,False
1561,32,Male,Black,14/04/2019,Bronx,NY,Gunshot,True
1562,32,Male,Native American,14/04/2019,Rushville,NE,Gunshot,False
1563,33,Male,White,14/04/2019,Kalama,WA,Gunshot,False
1564,47,Male,White,14/04/2019,Los Angeles,CA,Gunshot,False
1565,42,Male,Native American,14/04/2019,Red Bluff,CA,Gunshot,False
1567,28,Male,Black,12/04/2019,Clinton,LA,Gunshot,False
1568,39,Male,Hispanic,12/04/2019,Buckeye,AZ,Gunshot,True
1570,20,Male,Hispanic,11/04/2019,Canutillo,TX,Gunshot,False
1571,30,Male,White,11/04/2019,DeLand,FL,Gunshot,False
1572,34,Male,Black,11/04/2019,St. Louis,MO,Gunshot,False
1573,55,Male,Pacific Islander,11/04/2019,Richmond,CA,Gunshot,False
1574,34,Male,Black,11/04/2019,Boerne,TX,Gunshot,False
1575,29,Female,Hispanic,11/04/2019,Phoenix,AZ,Gunshot,False
1576,21,Male,Hispanic,10/04/2019,Indio,CA,Gunshot,False
1577,27,Male,Black,10/04/2019,Shreveport,LA,Gunshot,False
1578,47,Male,White,10/04/2019,Pinellas Park,FL,Gunshot,False
1579,57,Male,White,10/04/2019,Mexico Beach,FL,Gunshot,False
1580,28,Male,White,09/04/2019,Pueblo,CO,Gunshot,False
1581,32,Male,White,09/04/2019,New Lisbon,IN,Gunshot,False
1582,33,Male,Black,09/04/2019,Louisville,KY,Gunshot,False
1583,24,Male,Black,08/04/2019,Greeneville,TN,Gunshot,False
1584,37,Male,Black,08/04/2019,Salt Lake City,UT,Gunshot,False
1585,42,Male,White,08/04/2019,Chattanooga,TN,Gunshot,False
1586,35,Male,Black,07/04/2019,Blytheville,AR,Gunshot,True
1588,36,Male,White,06/04/2019,New Albany,IN,Gunshot,False
1591,26,Male,Unknown race,05/04/2019,Glendale Heights,IL,Gunshot,False
1592,37,Male,White,04/04/2019,Kalamazoo,MI,Gunshot,False
1593,30,Male,Hispanic,04/04/2019,Anaheim,CA,Gunshot,False
1594,26,Male,White,03/04/2019,Pelion,SC,Gunshot,False
1595,50,Male,Hispanic,03/04/2019,San Ysidro,CA,Gunshot,True
1596,53,Male,White,03/04/2019,Brownstown,IN,Gunshot,False
1597,56,Male,Hispanic,03/04/2019,Boynton Beach,FL,Gunshot,False
1598,48,Male,White,02/04/2019,Redding,CA,Gunshot,False
1599,19,Male,Black,01/04/2019,Union City,GA,Gunshot,False
1600,28,Female,White,01/04/2019,La Follette,TN,Gunshot,False
1601,31,Male,Black,01/04/2019,Anchorage,AK,Gunshot,False
1603,24,Male,Hispanic,31/03/2019,Marana,AZ,Gunshot,False
1604,25,Male,Native American,31/03/2019,Fairbanks,AK,Gunshot,False
1605,31,Male,Black,31/03/2019,Atlanta,GA,Gunshot,False
1606,33,Male,White,31/03/2019,Springfield,OR,Gunshot,False
1607,25,Male,Black,30/03/2019,North Miami,FL,Gunshot,False
1608,30,Male,Black,30/03/2019,Durham,NC,Gunshot,True
1609,22,Male,White,30/03/2019,Boone,NC,Gunshot,False
1610,42,Male,Hispanic,28/03/2019,Seguin,TX,Gunshot,False
1611,43,Male,Unknown race,28/03/2019,Glendale,AZ,Gunshot,False
1612,27,Male,White,27/03/2019,Chickasha,OK,Gunshot,False
1613,30,Male,Black,27/03/2019,Inglewood,CA,Gunshot,False
1614,40,Male,Hispanic,27/03/2019,Morton,TX,Gunshot,False
1615,51,Male,White,27/03/2019,Manchester,NH,Gunshot,False
1617,25,Male,White,27/03/2019,Burnet,TX,Gunshot,True
1618,38,Male,Black,27/03/2019,Gretna,LA,Gunshot,False
1619,39,Male,Black,27/03/2019,Gretna,LA,Gunshot,False
1620,18,Male,Black,25/03/2019,St. Louis,MO,Gunshot,False
1621,26,Male,Hispanic,25/03/2019,Thurmont,MD,Gunshot,False
1622,27,Male,Black,25/03/2019,Charlotte,NC,Gunshot,True
1623,30,Male,White,25/03/2019,Nichols,SC,Gunshot,False
1624,57,Male,Black,25/03/2019,Baltimore,MD,Gunshot,True
1625,46,Male,White,24/03/2019,Port St. Joe,FL,Gunshot,False
1626,22,Male,Black,22/03/2019,Walterboro,SC,Gunshot,False
1627,45,Male,White,22/03/2019,New Bern,NC,Gunshot,False
1628,19,Male,Black,21/03/2019,Modesto,CA,Gunshot,False
1629,32,Male,Unknown race,21/03/2019,Sandy Springs,GA,Gunshot,False
1630,29,Male,Black,20/03/2019,State College,PA,Gunshot,False
1631,37,Male,Hispanic,20/03/2019,Las Vegas,NV,Gunshot,True
1632,23,Female,White,20/03/2019,San Antonio,TX,Gunshot,False
1633,22,Male,Black,19/03/2019,Bastrop,LA,Gunshot,False
1634,29,Male,Hispanic,19/03/2019,Kittitas,WA,Gunshot,False
1635,52,Male,Hispanic,19/03/2019,Tampa,FL,Gunshot,False
1637,35,Male,White,18/03/2019,Mansfield,OH,Gunshot,False
1638,33,Male,Hispanic,17/03/2019,Clermont,FL,Gunshot,False
1639,49,Male,White,17/03/2019,Palmdale,CA,Gunshot,False
1640,53,Male,Unknown race,16/03/2019,Glen Carbon,IL,Gunshot,False
1641,77,Male,Unknown race,16/03/2019,The Dalles,OR,Gunshot,False
1642,49,Male,White,15/03/2019,Las Vegas,NV,Gunshot,True
1645,25,Male,White,14/03/2019,Ontario,OR,Gunshot,False
1646,27,Male,Native American,14/03/2019,Sallisaw,OK,Gunshot,False
1647,27,Male,Unknown race,14/03/2019,Federal Way,WA,Gunshot,False
1648,38,Male,White,14/03/2019,Jacksonville,FL,Gunshot,False
1649,22,Male,Unknown race,14/03/2019,Trenton,NJ,Gunshot,False
1650,33,Male,White,14/03/2019,Hamilton,MS,Gunshot,False
1651,29,Male,Hispanic,13/03/2019,Grand Island,NE,Gunshot,False
1652,48,Female,Black,13/03/2019,Greensburg,PA,Gunshot,False
1653,30,Male,Hispanic,13/03/2019,Phoenix,AZ,Gunshot,False
1654,41,Male,Black,13/03/2019,San Leandro,CA,Gunshot,True
1655,31,Male,White,12/03/2019,Kalamazoo,MI,Gunshot,False
1656,45,Male,White,12/03/2019,Waleska,GA,Gunshot,False
1657,32,Female,Black,12/03/2019,Miami,FL,Gunshot,False
1658,34,Male,White,11/03/2019,Westminster,MD,Gunshot,False
1659,51,Male,Hispanic,11/03/2019,Lakewood,CO,Gunshot,False
1661,31,Male,Asian,11/03/2019,San Bernardino,CA,Gunshot,False
1662,34,Male,Native American,10/03/2019,Redding,CA,Gunshot,False
1663,44,Male,White,10/03/2019,Cofield,NC,Gunshot,False
1664,30,Male,Black,09/03/2019,Monahans,TX,Gunshot,False
1665,35,Male,White,09/03/2019,Phoenix,AZ,Gunshot,False
1666,40,Male,Unknown race,09/03/2019,Buckeye,AZ,Gunshot,False
1667,46,Male,White,09/03/2019,Battle Creek,MI,Gunshot,False
1668,51,Female,White,09/03/2019,Joelton,TN,Gunshot,False
1669,59,Male,White,09/03/2019,Quanah,TX,Gunshot,False
1670,34,Male,White,08/03/2019,Athens,GA,Gunshot,True
1671,23,Male,White,07/03/2019,Anchorage,AK,Gunshot,False
1672,43,Male,Hispanic,07/03/2019,Hazel Dell South,WA,Gunshot,False
1673,47,Male,White,07/03/2019,Jonesboro,AR,Gunshot,False
1674,25,Male,Black,06/03/2019,Morgantown,WV,Gunshot,False
1675,22,Male,Unknown race,05/03/2019,Decatur,GA,Gunshot,False
1676,36,Male,Unknown race,05/03/2019,Springfield,MO,Gunshot,False
1677,56,Male,White,05/03/2019,Muskogee,OK,Gunshot,False
1678,Unknown,Male,Black,05/03/2019,Jacksonville,FL,Gunshot,False
1679,21,Female,Hispanic,05/03/2019,Bakersfield,CA,Gunshot,False
1680,31,Male,White,05/03/2019,Greenville,MS,Gunshot,False
1681,17,Male,Hispanic,04/03/2019,San Antonio,TX,Gunshot,False
1682,22,Male,Black,04/03/2019,Aurora,CO,Gunshot,True
1683,27,Male,Hispanic,04/03/2019,San Antonio,TX,Gunshot,False
1684,36,Male,Black,04/03/2019,Des Moines,IA,Gunshot,False
1685,63,Male,White,04/03/2019,Rancho Mirage,CA,Gunshot,False
1686,40,Male,Unknown race,03/03/2019,Glenoma,WA,Gunshot,False
1687,33,Male,White,02/03/2019,Mount Holly,NC,Gunshot,False
1688,49,Male,Unknown race,02/03/2019,Sebewaing,MI,Gunshot,False
1689,46,Male,White,02/03/2019,Fairchild,WI,Gunshot,False
1690,35,Female,White,02/03/2019,Grayson,KY,Gunshot,False
1691,20,Female,Hispanic,01/03/2019,Salinas,CA,Gunshot,False
1692,50,Male,Unknown race,01/03/2019,Waco,TX,Gunshot,False
1693,47,Male,Pacific Islander,01/03/2019,Honolulu,HI,Gunshot,False
1694,26,Male,Hispanic,01/03/2019,Fairfield,TX,Gunshot,False
1695,29,Male,White,28/02/2019,Vancouver,WA,Gunshot,False
1696,36,Male,Hispanic,28/02/2019,Littleton,CO,Gunshot,False
1697,40,Male,Black,27/02/2019,Killeen,TX,Gunshot,False
1698,48,Male,White,27/02/2019,Struthers,OH,Gunshot,False
1699,21,Male,Unknown race,27/02/2019,DeRidder,LA,Gunshot,False
1700,27,Male,White,26/02/2019,Miltona,MN,Gunshot,True
1701,51,Male,White,26/02/2019,Huger,SC,Gunshot,False
1702,22,Female,White,26/02/2019,Townsend,GA,Gunshot,False
1703,38,Male,White,25/02/2019,Springfield,MO,Gunshot,False
1704,40,Male,White,25/02/2019,Denver,CO,Gunshot,False
1705,41,Male,White,24/02/2019,Flint,MI,Gunshot,False
1706,24,Male,White,23/02/2019,Victorville,CA,Gunshot,False
1707,28,Male,White,23/02/2019,Carrollton,TX,Gunshot,True
1708,29,Male,White,23/02/2019,Clarksville,TN,Gunshot,False
1709,44,Male,White,23/02/2019,Blountville,TN,Gunshot,False
1711,28,Male,White,22/02/2019,Walton,WV,Gunshot,False
1712,36,Male,Asian,22/02/2019,Boston,MA,Gunshot,False
1713,36,Male,Hispanic,22/02/2019,Poteet,TX,Gunshot,False
1714,30,Male,Black,22/02/2019,Little Rock,AR,Gunshot,True
1715,39,Male,Black,20/02/2019,Willimantic,CT,Gunshot,False
1716,26,Male,White,20/02/2019,Mililani,HI,Gunshot,False
1717,16,Male,Pacific Islander,19/02/2019,Vancouver,WA,Gunshot,False
1718,24,Male,Black,19/02/2019,Randallstown,MD,Gunshot,False
1720,31,Male,Black,18/02/2019,Pelahatchie,MS,Gunshot,False
1721,28,Male,Pacific Islander,18/02/2019,Honolulu,HI,Gunshot,False
1722,32,Male,Black,17/02/2019,New Orleans,LA,Gunshot,False
1723,37,Female,Unknown race,17/02/2019,Tazewell,TN,Gunshot,False
1724,43,Male,Hispanic,17/02/2019,Napa,CA,Gunshot,True
1726,20,Male,Black,16/02/2019,Chicago,IL,Gunshot,False
1727,34,Male,Asian,16/02/2019,Clinton,MS,Gunshot,False
1728,45,Male,Black,15/02/2019,Aurora,IL,Gunshot,False
1729,33,Male,White,14/02/2019,San Jose,CA,Gunshot,False
1731,47,Male,Hispanic,14/02/2019,Los Angeles,CA,Gunshot,False
1734,34,Male,White,13/02/2019,Menallen Township,PA,Gunshot,False
1735,47,Male,White,13/02/2019,Apex,NC,Gunshot,False
1736,19,Male,Black,12/02/2019,Cinco Ranch,TX,Gunshot,False
1737,20,Male,Black,12/02/2019,Cinco Ranch,TX,Gunshot,False
1738,28,Male,White,12/02/2019,Fairbanks,AK,Gunshot,False
1739,46,Male,White,12/02/2019,Merced,CA,Gunshot,False
1740,58,Male,Black,12/02/2019,Defiance,OH,Gunshot,False
1742,24,Male,Black,11/02/2019,Crestwood,KY,Gunshot,False
1743,32,Male,Asian,11/02/2019,Redding,CA,Gunshot,False
1745,34,Male,White,11/02/2019,Montgomery,WV,Gunshot,False
1746,34,Male,Black,10/02/2019,Greenville,SC,Gunshot,True
1747,55,Male,White,10/02/2019,Waukesha,WI,Gunshot,False
1748,20,Male,Black,09/02/2019,Vallejo,CA,Gunshot,False
1749,25,Male,White,09/02/2019,Del City,OK,Gunshot,False
1750,28,Male,Hispanic,09/02/2019,Bailey,NC,Gunshot,True
1751,57,Male,White,09/02/2019,Virginia Beach,VA,Gunshot,False
1752,32,Transgender,Unknown race,08/02/2019,New York,NY,Gunshot,False
1753,49,Male,White,08/02/2019,Barberton,OH,Gunshot,False
1754,25,Male,White,08/02/2019,Bakersfield,CA,Gunshot,False
1755,25,Male,White,07/02/2019,McHenry,MS,Gunshot,True
1756,34,Male,Hispanic,07/02/2019,Seattle,WA,Gunshot,True
